제목,출판정보,가격
진짜 챗GPT 활용법,김준성 외 ·  위키북스   · 2023.03.21,"16,200"
진짜 쓰는 실무 엑셀,오빠두(전진권) ·  제이펍   · 2022.02.15,"18,900"
회사는 엑셀을 가르쳐주지 않아요,쏘피(박성희) ·  메가스터디북스   · 2022.09.20,"16,200"
챗GPT와 업무자동화,김철수 ·  위키북스   · 2023.03.21,"16,200"
챗GPT와 글쓰기,김철수 ·  위키북스   · 2023.03.03,"16,200"
Do it! 점프 투 파이썬,박응용 ·  이지스퍼블리싱   · 2019.06.20,"16,920"
비전공자를 위한 이해할 수 있는 IT 지식,최원영 ·  티더블유아이지   · 2020.07.14,"15,120"
Docs for Developers 기술 문서 작성 완벽 가이드,자레드 바티 외 ·  한빛미디어   · 2023.04.10,"22,500"
혼자 공부하는 컴퓨터 구조+운영체제,강민철 ·  한빛미디어   · 2022.08.16,"25,200"
혼자 공부하는 파이썬,윤인성 ·  한빛미디어   · 2022.06.01,"19,800"
챗GPT + 엑셀 업무자동화 정석,권현욱 ·  디지털북스   · 2023.04.20,"13,500"
개발자를 위한 챗GPT 활용법,오현석 ·  심통   · 2023.03.31,"17,100"
침묵의 봄,레이첼 카슨 ·  에코리브르   · 2011.12.30,"16,200"
면접을 위한 CS 전공지식 노트,주홍철 ·  길벗   · 2022.04.28,"21,600"
Clean Code(클린 코드),로버트 C. 마틴 ·  인사이트   · 2013.12.24,"29,700"
혼자 공부하는 머신러닝+딥러닝,박해선 ·  한빛미디어   · 2020.12.21,"23,400"
네이버 스마트스토어 시작하기(최신개정판),서미진 ·  한빛미디어   · 2023.03.13,"17,820"
모던 자바스크립트 Deep Dive,이웅모 ·  위키북스   · 2020.09.25,"40,500"
업무와 일상을 정리하는 새로운 방법 노션(Notion),전시진 외 ·  제이펍   · 2022.11.14,"17,010"
스프링으로 시작하는 리액티브 프로그래밍,황정식 ·  비제이퍼블릭   · 2023.04.11,"27,000"
